category,context,question,response,instruction,prompt,eval_prompt
translate, ,Mero sapana sansar ghumnu ho.,My dream is to travel the world.,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Mero sapana sansar ghumnu ho.<end_of_turn>
<start_of_turn>model
My dream is to travel the world.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Mero sapana sansar ghumnu ho.<end_of_turn>
<end_of_turn>model
"
RAG,"GadgetStore, Chitwan-1, Narayanghat bata saman Kathmandu ko Upatyaka bhitra delivery free chha. Baaki Nepal ka thau haruma delivery charge applicable chha.",Tapaiharu le Kathmandu ma free delivery dinu huncha?,"Ho, Kathmandu ko Upatyaka bhitra free delivery available chha. Baaki thau haruma delivery charge lagcha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapaiharu le Kathmandu ma free delivery dinu huncha?
Context: GadgetStore, Chitwan-1, Narayanghat bata saman Kathmandu ko Upatyaka bhitra delivery free chha. Baaki Nepal ka thau haruma delivery charge applicable chha.<end_of_turn>
<start_of_turn>model
Ho, Kathmandu ko Upatyaka bhitra free delivery available chha. Baaki thau haruma delivery charge lagcha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapaiharu le Kathmandu ma free delivery dinu huncha?
Context: GadgetStore, Chitwan-1, Narayanghat bata saman Kathmandu ko Upatyaka bhitra delivery free chha. Baaki Nepal ka thau haruma delivery charge applicable chha.<end_of_turn>
<end_of_turn>model
"
alpaca, ,Mero travel vlog ko script banauna help gara. Location chha: Pokhara.,"Namaste, everyone! Aaja hamile Pokhara ma chhau. Fewa Lake ko peaceful view, Sarangkot ko breathtaking sunrise, ra local market ko vibrant culture explore garau. Let’s go!", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Mero travel vlog ko script banauna help gara. Location chha: Pokhara.<end_of_turn>
<start_of_turn>model
Namaste, everyone! Aaja hamile Pokhara ma chhau. Fewa Lake ko peaceful view, Sarangkot ko breathtaking sunrise, ra local market ko vibrant culture explore garau. Let’s go!","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Mero travel vlog ko script banauna help gara. Location chha: Pokhara.<end_of_turn>
<end_of_turn>model
"
RAG,"Product available: Samsung 32-inch TV, Price: Rs. 15000. LG 42-inch TV, Price: Rs. 30000. Sony 50-inch TV, Price: Rs. 45000.",Samsung 32-inch TV ko price kati ho?,Hami sanga Samsung 32-inch TV ko price Rs. 15000 xa.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Samsung 32-inch TV ko price kati ho?
Context: Product available: Samsung 32-inch TV, Price: Rs. 15000. LG 42-inch TV, Price: Rs. 30000. Sony 50-inch TV, Price: Rs. 45000.<end_of_turn>
<start_of_turn>model
Hami sanga Samsung 32-inch TV ko price Rs. 15000 xa.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Samsung 32-inch TV ko price kati ho?
Context: Product available: Samsung 32-inch TV, Price: Rs. 15000. LG 42-inch TV, Price: Rs. 30000. Sony 50-inch TV, Price: Rs. 45000.<end_of_turn>
<end_of_turn>model
"
RAG,"Smart Electronics le festive sale ma 5% discount cha. Tapai le printers, gadgets, ra accessories ko selection dekhna saknu hunchha. Limited time offer cha, delivery Kathmandu ra surrounding areas ma free cha.",Festive sale ma kati discount cha?,"Festive sale ma 5% discount cha, tara limited time offer cha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Festive sale ma kati discount cha?
Context: Smart Electronics le festive sale ma 5% discount cha. Tapai le printers, gadgets, ra accessories ko selection dekhna saknu hunchha. Limited time offer cha, delivery Kathmandu ra surrounding areas ma free cha.<end_of_turn>
<start_of_turn>model
Festive sale ma 5% discount cha, tara limited time offer cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Festive sale ma kati discount cha?
Context: Smart Electronics le festive sale ma 5% discount cha. Tapai le printers, gadgets, ra accessories ko selection dekhna saknu hunchha. Limited time offer cha, delivery Kathmandu ra surrounding areas ma free cha.<end_of_turn>
<end_of_turn>model
"
open_qa, ,Hi bot,Namaste! Ma tapai ko virtual assistant ho. Aba tapai ko lagi ke madat garna sakchhu?,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Hi bot<end_of_turn>
<start_of_turn>model
Namaste! Ma tapai ko virtual assistant ho. Aba tapai ko lagi ke madat garna sakchhu?","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Hi bot<end_of_turn>
<end_of_turn>model
"
open_qa, ,Tapai email kasari pathaunuhuncha? Steps bataunus.,"Email app kholnus, compose button click garnus, email lekhnus ani send thichnus.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tapai email kasari pathaunuhuncha? Steps bataunus.<end_of_turn>
<start_of_turn>model
Email app kholnus, compose button click garnus, email lekhnus ani send thichnus.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tapai email kasari pathaunuhuncha? Steps bataunus.<end_of_turn>
<end_of_turn>model
"
RAG,"Nepal has immense potential for eco-tourism, with its natural beauty, trekking routes, and national parks. Promoting eco-tourism can support sustainable development.",Nepal ma eco-tourism ko sambhavana ko barema bataunus.,"Nepal ma eco-tourism ko dherai sambhavana cha, natural beauty, trekking routes, ra national parks ko karan le. Eco-tourism promote garnu sustainable development ko lagi mahatwapurna huncha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Nepal ma eco-tourism ko sambhavana ko barema bataunus.
Context: Nepal has immense potential for eco-tourism, with its natural beauty, trekking routes, and national parks. Promoting eco-tourism can support sustainable development.<end_of_turn>
<start_of_turn>model
Nepal ma eco-tourism ko dherai sambhavana cha, natural beauty, trekking routes, ra national parks ko karan le. Eco-tourism promote garnu sustainable development ko lagi mahatwapurna huncha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Nepal ma eco-tourism ko sambhavana ko barema bataunus.
Context: Nepal has immense potential for eco-tourism, with its natural beauty, trekking routes, and national parks. Promoting eco-tourism can support sustainable development.<end_of_turn>
<end_of_turn>model
"
translate, ,Malai aaja football khelne ichcha cha. Sathi haru sanga ground ma jane plan banauchu.,I feel like playing football today. I’ll plan to go to the ground with my friends.,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Malai aaja football khelne ichcha cha. Sathi haru sanga ground ma jane plan banauchu.<end_of_turn>
<start_of_turn>model
I feel like playing football today. I’ll plan to go to the ground with my friends.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Malai aaja football khelne ichcha cha. Sathi haru sanga ground ma jane plan banauchu.<end_of_turn>
<end_of_turn>model
"
open_qa, ,Nepali culture ko khasiyat ke ho?,"Nepali culture diverse ani rich cha. Harek jat-jati ko aafno tradition ani festival huncha, jasle unity in diversity dekhauncha. Dashain, Tihar, Holi, ani Lhosar jastai chad sabai ko main highlight ho. Nepali le respect ko lagi elders ko aashirwad linu ani namaste garnu culture ko part ho. Folk songs, dances (jastai Tamang selo, Lakhey), ani foods (dhido, gundruk) Nepali identity ho. Art ra architecture, jastai stupas ani temples, world-famous cha.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali culture ko khasiyat ke ho?<end_of_turn>
<start_of_turn>model
Nepali culture diverse ani rich cha. Harek jat-jati ko aafno tradition ani festival huncha, jasle unity in diversity dekhauncha. Dashain, Tihar, Holi, ani Lhosar jastai chad sabai ko main highlight ho. Nepali le respect ko lagi elders ko aashirwad linu ani namaste garnu culture ko part ho. Folk songs, dances (jastai Tamang selo, Lakhey), ani foods (dhido, gundruk) Nepali identity ho. Art ra architecture, jastai stupas ani temples, world-famous cha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali culture ko khasiyat ke ho?<end_of_turn>
<end_of_turn>model
"
